survey_year,device_used,birth_year,gender,marital_status,living_place,income,finish_that_begin,hard_worker,diligent,social_gather,close_friends,volunteers,often_votes,political_leaning,siblings,religious
2017,2,1977,2,3,3,5,2,3,2,7,2,1,1,3,2,1
2017,1,1982,1,1,1,8,2,2,2,6,3,1,4,2,3,2
2018,95,1981,1,1,1,11,2,1,2,5,3,1,4,2,1,2
2018,1,1979,1,1,1,9,2,1,2,5,2,1,1,3,7,2
2018,2,1983,2,1,1,7,1,2,1,6,3,1,2,3,5,2
2016,1,1983,2,1,1,5,2,2,2,3,3,2,3,3,1,2
2018,1,1979,2,1,1,10,2,1,1,6,3,1,4,4,3,4
2017,2,1980,2,1,1,9,2,1,2,6,3,2,4,2,1,4
2016,3,1981,2,5,2,1,2,1,2,4,2,1,1,3,3,3
2018,1,1978,2,5,2,4,2,2,1,1,2,1,1,1,2,1
2017,1,1981,1,5,2,3,2,2,2,7,2,1,2,3,9,4
2018,1,1980,1,3,1,10,1,2,1,5,2,5,2,2,5,3
2017,2,1982,1,3,1,3,3,3,3,2,2,1,1,1,997,2
2017,1,1982,2,1,1,5,2,3,4,6,3,5,4,2,2,4
2017,1,1980,2,5,2,1,4,4,4,5,2,5,2,4,2,3
2018,2,1980,2,4,1,2,1,1,1,1,2,2,4,1,6,1
2016,2,1980,2,1,1,10,2,2,2,6,3,1,1,4,997,3
2017,1,1982,1,1,1,10,2,3,2,5,3,2,1,3,1,2
2016,2,1980,1,1,1,9,3,2,2,4,2,1,2,2,2,2
2017,1,1983,2,4,2,8,2,4,2,7,3,1,3,3,2,3
2018,1,1979,1,1,1,11,1,1,1,5,3,1,4,2,6,4
2016,1,1981,2,5,1,8,2,2,4,5,3,1,2,3,2,4
2018,1,1983,1,5,1,11,2,2,2,7,3,2,4,4,5,1
2016,95,1978,1,5,1,7,3,3,4,6,2,1,1,3,3,2
2018,1,1977,2,1,1,9,4,1,2,5,2,1,1,4,3,1
2017,1,1981,1,1,1,9,2,2,2,6,4,6,3,NA,2,3
2017,1,1982,1,1,1,2,1,1,4,5,5,2,2,3,7,4
2018,1,1979,2,1,1,13,2,2,2,4,2,1,2,2,1,1
2017,1,1979,1,5,6,1,3,3,2,7,2,1,1,4,2,2
2016,1,1978,1,1,1,9,2,1,1,6,3,5,2,2,5,3
2018,2,1982,2,1,1,13,3,3,2,6,2,4,2,3,2,4
2017,1,1982,1,5,1,7,3,1,1,5,2,1,1,NA,2,NA
2018,2,1977,2,1,1,3,4,2,3,1,2,1,1,3,4,1
2018,1,1977,1,4,1,6,2,1,1,7,2,1,1,3,8,1
2017,1,1981,1,5,3,7,2,1,1,6,4,1,2,3,4,2
2017,1,1983,1,1,1,11,1,1,1,4,2,1,2,3,6,4
2017,1,1981,1,4,2,5,4,3,4,5,2,1,3,4,3,1
2016,1,1981,1,5,1,7,1,2,1,4,2,1,3,4,2,3
2017,3,1982,1,1,1,9,3,1,1,4,1,1,2,3,997,2
2016,2,1981,1,5,1,1,2,2,2,7,3,6,1,NA,2,9
2017,2,1982,2,1,1,10,4,2,4,5,2,2,3,2,2,4
2016,1,1979,2,1,1,1,4,5,3,6,3,2,2,5,5,3
2016,3,1979,1,1,1,10,2,1,1,5,2,1,2,2,2,2
2016,2,1980,2,5,1,9,2,3,3,6,1,4,2,4,4,2
2017,1,1977,2,1,1,2,2,2,2,4,2,3,4,3,5,2
2017,1,1981,2,1,1,9,2,1,2,4,4,1,4,5,4,6
2017,1,1978,1,NA,NA,8,2,1,1,3,1,2,2,2,2,9
2017,1,1979,1,1,1,11,2,1,1,6,3,1,1,2,10,4
2017,2,1976,1,1,1,7,3,4,4,3,3,1,3,3,1,9
2016,3,1980,2,1,1,5,2,2,2,4,2,2,1,NA,3,9
2017,1,1978,2,5,1,5,4,2,3,6,3,2,4,3,1,1
2016,1,1980,1,1,1,8,2,2,1,6,2,1,1,3,1,1
2017,1,1979,1,5,1,1,1,1,3,5,2,1,1,3,3,4
2017,1,1981,2,5,1,9,4,1,2,6,4,3,3,5,2,1
2016,1,1980,1,1,1,9,1,1,1,4,3,1,3,2,1,2
2017,1,1982,1,5,3,1,2,2,2,7,3,1,3,3,4,4
2018,2,1978,1,1,1,8,1,1,1,5,3,1,1,3,1,1
2018,1,1979,2,3,6,5,1,1,1,5,3,1,1,3,9,4
2017,2,1982,1,1,3,4,2,2,2,1,1,1,1,5,997,2
2016,95,1979,1,5,2,4,2,2,2,3,2,2,1,2,1,1
2017,1,1979,2,1,1,1,1,1,1,6,4,5,2,4,2,2
2017,1,1977,1,1,1,12,1,2,1,7,3,3,4,3,1,4
2016,1,1979,1,5,NA,NA,2,2,2,5,2,2,4,1,2,3
2017,1,1982,1,1,1,9,2,2,2,4,3,2,1,3,2,1
2017,2,1978,2,1,1,1,2,3,2,5,3,1,2,5,2,1
2018,1,1979,2,1,1,7,1,1,2,5,2,1,4,2,1,3
2018,2,1978,1,1,1,6,2,2,2,6,2,1,3,3,997,2
2016,1,1979,1,1,1,11,3,2,3,4,1,1,2,3,3,1
2018,2,1978,2,3,1,9,2,2,2,3,2,1,1,2,10,9
2018,95,1977,2,5,1,1,2,2,2,5,3,1,1,3,6,4
2017,1,1980,1,5,2,8,2,1,1,6,2,2,1,3,8,9
2016,1,1982,2,3,1,8,3,2,4,6,3,6,1,3,5,4
2017,1,1981,2,5,1,8,2,3,2,7,5,2,1,3,4,1
2018,2,1977,2,5,1,1,1,1,1,1,2,2,3,3,4,4
2017,2,1978,1,3,1,2,2,NA,1,2,4,1,1,2,3,2
2017,2,1978,2,1,1,NA,4,3,2,4,5,1,4,3,1,3
2017,1,1979,2,1,1,9,1,2,2,5,3,1,4,3,1,4
2016,2,1980,1,5,3,6,2,2,2,5,3,1,4,3,6,3
2017,2,1980,2,5,1,1,2,2,2,5,2,1,4,3,1,2
2016,2,1979,2,1,1,1,2,1,3,7,3,3,3,3,1,2
2017,1,1978,1,5,1,NA,2,1,2,5,2,NA,1,3,3,9
2017,2,1978,2,1,1,7,4,2,2,4,2,1,2,3,2,9
2016,1,1979,2,1,1,9,1,1,1,6,2,2,1,3,1,1
2017,1,1983,2,5,2,9,3,2,2,4,2,1,3,5,2,4
2017,3,1980,1,5,1,1,2,2,2,4,2,1,4,2,997,9
2017,1,1982,1,5,1,5,3,3,3,2,2,1,1,4,5,1
2018,95,1982,2,1,1,5,1,2,2,6,3,1,2,3,3,2
2016,3,1982,2,1,1,10,2,2,2,4,3,1,4,3,10,4
2017,2,1979,1,3,3,7,2,3,2,7,2,1,1,2,7,2
2018,1,1980,2,3,1,8,1,1,2,6,2,2,4,2,4,4
